S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information,degree_title
1,Dr. Ihsan Ullah,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,,france,,"P2P Networks, Telecommunication Systems",,PhD
2,Dr. Atiq Ahmed,University of Balochistan,Computer Science & IT,Balochistan,Associate Professor,PhD,,france,,"Wireless Networks, Telecommunication Systems, Multi-agent Systems",,PhD
3,Dr. Abdul Basit,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,thailand,,Software Engineering & DBMS,,PhD
5,Dr. Waheed Noor,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,thailand,,DBMS,,PhD
6,Dr. Junaid Baber,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,thailand,,"Information processing, Multimedia mining",,PhD
7,Dr. Maheen Bakhtyar,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,thailand,,"NLP, Information Retrieval, Question Answering system",,PhD
10,Dr. Altaf Hussain Bouk,University of Balochistan,Computer Science & IT,Balochistan,Professor,PhD,,italy,,"Optical Fiber, Telecommunication System",,PhD
11,Dr. Muhammad Shumail,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,pakistan,,Computation Theory,,PhD
13,Dr. Liaquat,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,germany,,"DBMS, Data Mining",,PhD
111,Majid Iqbal Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Head of Department,PhD,University of Vienna,austria,2009.0,"wireless sensor networks, MANETS and internet of things",,PhD
112,Sohail Asghar,"COMSATS, Islamabad Campus",Computer Science,Capital,Professor,PhD,Monash University,australia,2006.0,"Machine Learning and Data mining, decision support system and business intelligence, big data analytics, outcome based education",,PhD
115,Muaz A. Niazi,"COMSATS, Islamabad Campus",Computer Science,Capital,Chief Scientific Officer,PhD,University of Stirling,uk,,"Complex Communication Networks such as Internet of Things, Online social networks, Wireless Sensor networks etc. Biological Networks Modeling and Simulation, Agent-based Computing.",,PhD
116,Muhammad Manzoor ilahi Tamimy,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,Chinese Academy of Sciences,china,,"Mining Data Streams, Ubiquitous Data Mining, Intrusion Detection, Distributed Data Mining, Machine learning and data mining, Real-Time system; Publish/Subscribe system; Wireless Sensor Networks, Active databases ECA Rules",,PhD
117,Nasro Min-allah,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,Chinese Academy of Sciences,china,2008.0,"software pipelining, chromatic scheduling, reliable computing and real-time systems",,PhD
118,M. Masoom Alam,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,University of Innsbruck,austria,2007.0,system administration and research and development,,PhD
119,Sajjad A. Madani,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,Vienna University of Technology,austria,,,,PhD
120,Nadeem Javaid,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,University of Paris-Est,france,2010.0,"Wireless Ad-hoc, Sensor, Vehicular and Body Area Networks",,PhD
123,Naveed Ahmad,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Cambridge,uk,,"modelling and simulating change/business processes, software engineering for mobile applications.",,PhD
126,Iftikhar Azim Niaz,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,,,,,,PhD
127,Sheikh Ziauddin,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,"University of Nice, Sophia Antipolis",france,,"Image processing, computer vision, information security",,PhD
129,Ahmad R. Shahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of York,uk,,"�Natural Language Processing (NLP), which falls under the broader category of Artificial Intelligence. Dr. Shahid is interested in building multilingual, bilingual and monolingual resources using supervised and unsupervised learning approaches. He is also interested in applications of Machine Learning approaches.",,PhD
130,Yasir Faheem,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,Galil�e - Universit� Paris 13,france,2012.0,"Routing, medium access control, resource allocation and security related issues in: Internet of Things, cloud computing, Wireless Ad hoc Networks (Sensor networks, vehicular networks, cognitive radio networks, delay tolerant networks) & smart grids.�Moreover, I am interested in applications of algorithmic game theory to various problems in wireless networks and global software development.",,PhD
