,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information,degree_title
0,1,Dr. Ihsan Ullah,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,,France,,"P2P Networks, Telecommunication Systems",,PhD
1,2,Dr. Atiq Ahmed,University of Balochistan,Computer Science & IT,Balochistan,Associate Professor,PhD,,France,,"Wireless Networks, Telecommunication Systems, Multi-agent Systems",,PhD
2,3,Dr. Abdul Basit,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,Software Engineering & DBMS,,PhD
4,5,Dr. Waheed Noor,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,DBMS,,PhD
5,6,Dr. Junaid Baber,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Information processing, Multimedia mining",,PhD
6,7,Dr. Maheen Bakhtyar,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"NLP, Information Retrieval, Question Answering system",,PhD
9,10,Dr. Altaf Hussain Bouk,University of Balochistan,Computer Science & IT,Balochistan,Professor,PhD,,Italy,,"Optical Fiber, Telecommunication System",,PhD
12,13,Dr. Liaquat,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,Germany,,"DBMS, Data Mining",,PhD
110,111,Majid Iqbal Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Head of Department,PhD,University of Vienna,Austria,2009.0,"wireless sensor networks, MANETS and internet of things",,PhD
111,112,Sohail Asghar,"COMSATS, Islamabad Campus",Computer Science,Capital,Professor,PhD,Monash University,Australia,2006.0,"Machine Learning and Data mining, decision support system and business intelligence, big data analytics, outcome based education",,PhD
119,120,Nadeem Javaid,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,University of Paris-Est,France,2010.0,"Wireless Ad-hoc, Sensor, Vehicular and Body Area Networks",,PhD
122,123,Naveed Ahmad,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Cambridge,UK,,"modelling and simulating change/business processes, software engineering for mobile applications.",,PhD
137,138,Farhana Jabeen,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Manchester,UK,2011.0,"query processing in wireless sensor network, distributed spatial analysis, distributed computing using ad hoc wireless networks.",,PhD
149,150,Assad Abbas,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,North Dakota State University,USA,2016.0,"Smart Health, Big Data Analytics, Recommendation Systems, Patent Analysis, and Social Network Analysis",,PhD
150,151,Javed Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,,"Software Process Improvement, Requirements Engineering & Software Development Outsourcing�",,PhD
155,156,Muzafar Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Technology,Malaysia,,n HCI in general and usability evaluation / user experience�,,PhD
227,228,Anis ur Rahman,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Grenoble,France,2013.0,"Visual Perception, Computer Vision, GPGPU",,PhD
228,229,Mian Muhammad Hamayun,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Grenoble,France,2012.0,"Native Simulation of MPSoC, Virtualization, Software Performance Estimation and Binary Translation",,PhD
230,231,Asad Ali Shah,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,2017.0,"Question Answering, Credibility Assessment, Information Retrieval, Information Processing, Semantic Web",,PhD
231,232,Arsalan Ahmad,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Politecnico di Torino,Italy,2014.0,"Energy Efficiency in Telecommunication Networks, Optical Network Optimization",,PhD
233,234,Muazzam A Khan Khattak,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,"�University of Missouri, KC",USA,2016.0,"Wireless Sensor Networks, IOT, Image Encryption and Compression, Localization",,PhD
234,235,Qaiser Riaz,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Bonn,Germany,2015.0,"Human motion analysis, character animation, inertial based motion analysis, ubiquitous computing, robotics",,PhD
235,236,Safdar Abbas Khan ,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Paris,France,2011.0,Localization in wireless sensor networks; Soft computing techniques,,PhD
236,237,Sohail Iqbal Khan,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Paris-Est,France,2011.0,"Surgical Robotics, Mathematical Modeling, Fuzzy Controllers",,PhD
237,238,Sharifullah Khan TI,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,The University of Leeds,UK,2002.0,"Databases, Information Retrieval",,PhD
241,242,Muhammad Imran Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,University of Technology,Germany,,Machine Learning,,PhD
242,243,Mudassar Ahmad Mughal,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Stockholm University,Sweden,,,,PhD
243,244,Nadeem Ahmed,National University of Sciences and Technology,Computing,Capital,Head of Department,PhD,"University of New South Wales, Sydney",Australia,2007.0,"Wireless Sensor Networks, Data Centre Networking, Software Defined Networking",,PhD
244,245,Muhammad Moazam Fraz,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Kingston University London,UK,2013.0,"Pattern Recognition, Computer Vision and Machine Learning, Medical Image Analysis",,PhD
245,246,Muhammad Mudassir Malik,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,Vienna University of Technology,Austria,2009.0,"Scientific and Information Visualization, Comparative Visualization, Industrial CT (HEC Approved PhD Supervisor)",,PhD
246,247,Imran Mahmood Hashmi,National University of Sciences and Technology,Computing,Capital,Assistant Professor,PhD,KTH Royal Institute of Technology,Sweden,2013.0,"Software Enginneering, System Modeling and Analysis, Formal Verification",,PhD
247,248,Saad Naeem Zafar,RIPHAH International,Computing,Capital,Dean,PhD,Griffith University,Australia,,"Software Engineering, Requirements Engineering, Software Quality, Software Engineering Education (e-Learning), Cybersecurity (Governance, Management, Audit, Data Security and Privacy)",,PhD
248,249,Naveed Ikram,RIPHAH International,Computing,Capital,Professor/Associate Dean (Research),PhD,University of Salford,UK,2000.0,"Empirical Software Engineering, Requirements Engineering, Usability Engineering, Global Software Development, Agile Development, Software Engineering Education",,PhD
251,252,Rizwan Bin Faiz,RIPHAH International,Computing,Capital,,PhD,Loughborough University,UK,2010.0,"Artificial Intelligence, Model Base Testing",,PhD
271,272,Ejaz Ahmed,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of BedfordShire,UK,2011.0,"Databases, Grid Computing, Cloud Computing, Information Systems and Software Applications Architecture",,PhD
272,273,Hammad Naveed,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of Illinois,USA,2012.0,"Computational Structural Biology. He is particularly interested in computational identification of novel drug targets, drug repositioning, biophysical modelling of tissues and computational characterization of membrane proteins.",,PhD
274,275,Kashif Munir,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University of Innsbruck,Austria,2009.0,"computer networks, high-performance computing and computer communications, performance evaluation (simulation and analytical modeling) of computer and communication systems and mobility management. Currently, he is working on mobility cost analysis in mobile networks.","2 year post doctorate at Telecom Bretagne (Rennes Campus), IRISA, France in 2011/2012",PhD
275,276,M.Zohaib Zafar Iqbal,FAST-NU(Islamabad),Computer Science,Capital,Associate Professor,PhD,University Of Oslo,Norway,2012.0,"model-driven engineering, software testing, and empirical software engineering",,PhD
276,277,Ehtesham Zahoor,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Nancy 2 University,France,2011.0,Cloud Computing and Services Composition,,PhD
277,278,Hammad Majeed,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Limerick,Ireland,2007.0,"Artificial Intelligence, Computational Intelligence, Machine Learning, Data Mining & Knowledge Discovery, Evolutionary Gaming, Machine Vision & Robotics.",,PhD
278,279,Irum Inayat,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,2015.0,"agile software development methods, empirical software engineering, requirements engineering, wearable learning, and merger of artificial intelligence with software engineering",,PhD
280,281,Mirza Omer Baig,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University Of Waterloo,Canada,2013.0,"confluence of Green Computation,�Compiler Optimizations,�Memory Hierarchy Optimizations,�Constraint Programming and�Graph Theoretic Algorithms. During the last few years he has worked on several compiler optimization problems targeted towards low-end, power constrained processors. These include formalizing instruction scheduling for clustered architectures, memory hierarchy optimizations and code generation.",,PhD
281,282,Muhammad Adnan Tariq,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University of Stuttgart,Germany,2013.0,"Internet of Things (IoT), mobile and pervasive computing, geo-distributed fog & cloud computing and Software-defined Networking (SDN) with focus on scalability, quality of service (QoS), fault tolerance and security aspects",,PhD
282,283,Muhammad Asim,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Liverpool John Moores University,UK,2010.0,,,PhD
284,285,Usman Farrokh Niaz,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,Paris Tech University of Eurecom,France,2014.0,"Computer Vision, Machine Learning, Pattern Recognition and Image/Video Retrieval.",,PhD
285,286,Uzair Khan,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,"University of Nice, Sophia Antipolis",France,2011.0,"Model Driven Software Engineering, in particular focusing on Model Transformations and Automated Model based Software Testing",,PhD
286,287,Ali Nasir,FAST-NU(Islamabad),Computer Science,Capital,Assistant Professor,PhD,University Of Salford,UK,2009.0,"Management Information Systems & its security, Software Project Management, Human Computer interaction, and Supply Chain Management.",,PhD
312,313,Professor Dr. Muhammad Sher ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,TU Berlin,Germany,,Next Generation Networks and Security,,PhD
314,315, Dr. Ali Daud ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Associate Professor,PhD,Tsinghua University,China,2010.0,"Text Mining,Information Retrieval, Information Extraction, Social Network Analysis, Machine Learning, Graphical Models, Topic Models",,PhD
315,316,Dr. Husnain Abbas Naqvi ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,The University of Auckland,New Zealand,,"Professional Software Development and Analysis, Statistical Software Engineering, Stochastic Process, Sensor Networks, Collaborative Communications and Information Security",,PhD
335,336,Dr. Mahmood Niazi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,University of Technology,Australia,,,,PhD
358,359,SAJJAD HAIDER,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,2012.0,"Indoor Positioning Systems, Mobility management,Handover in Wireless Communication.",,PhD
